,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,A_pga,A_pgv,dM,A_site
69,CN,SGRQ,46.14,-70.58,0.0,0.0,,,,,,0.0
70,CN,SJUQ,45.56,-73.32,0.0,0.0,,,,,,0.0
71,CN,SLBQ,46.74,-70.02,0.0,0.0,,,,,,0.0
72,CN,SMQ,50.22,-66.7,0.0,0.0,,,,,0.0271164855372514,0.0
73,CN,SNFQ,48.89,-67.35,0.0,0.0,,,,,-0.0875885792913656,0.0
74,CN,SOLO,50.02,-92.08,0.0,0.0,,,,,-0.1902542372881355,0.0
75,CN,STPQ,47.53,-69.8,10.51,15.85,,,,,,0.0
76,CN,SUBO,46.61,-81.13,0.0,0.0,,,,,-0.0202083333333333,0.0
77,CN,SUNO,46.64,-81.34,0.0,0.0,0.0,0.0,1.24419,1.5489,0.0634408602150537,0.0
78,CN,SURQ,45.17,-73.71,0.0,0.0,,,,,,0.0
79,CN,TIMO,48.47,-81.3,0.08,3.62,0.0,0.0,1.3531,1.62444,-0.0405405405405405,6.4276
80,CN,TRQ,46.22,-74.55,0.0,0.0,,,,,0.0082165584133185,0.0
81,CN,ULM,50.25,-95.88,0.0,0.0,,,,,-0.1459999999999999,0.0
82,CN,VABQ,45.9,-75.61,0.0,0.0,,,,,-0.0072222222222222,0.0
83,CN,VDBQ,45.93,-75.57,0.08,14.13,,,,,0.6444444444444444,6.4276
84,CN,VIMO,52.82,-83.74,21.02,4.51,0.0,0.0,1.535,1.76465,-0.0062457614624797,0.0
85,CN,VLDQ,48.19,-77.76,0.0,0.0,,,,,-0.148009522297448,0.0
86,CN,WBO,45.0,-75.28,0.0,0.0,,,,,-0.0343603214810645,0.0
87,PO,ALDO,45.63,-74.88,0.0,0.0,,,,,-0.1973684210526315,0.0
88,PO,ALGO,45.95,-78.05,3.41,8.41,3.85,14.87,4.81554,3.89152,0.657560975609756,3.8302
89,PO,BELQ,47.4,-78.69,0.0,0.0,0.0,0.0,0.860138,1.24702,-0.0795918367346939,0.0
90,PO,BRPO,45.65,-77.51,3.72,16.79,,,,,,3.5884
91,PO,CBRQ,47.31,-76.47,0.0,0.0,,,,,-0.1692307692307692,0.0
92,PO,CLPO,45.25,-76.96,0.0,0.0,,,,,-0.3764705882352941,0.0
93,PO,DMCQ,48.96,-72.07,0.0,0.0,,,,,0.0465648854961832,0.0
94,PO,DREO,43.87,-78.7,4.82,11.89,,,,,0.6636363636363637,2.7304
95,PO,ELGO,43.68,-80.44,0.0,0.0,0.0,0.0,1.67241,1.63581,0.0390243902439023,0.0
96,PO,GASG,48.95,-66.12,5.26,18.84,,,,,0.7175799793601652,2.3872
97,PO,HANN,45.88,-66.77,19.28,4.5,,,,,-0.1858662997362688,0.0
98,PO,HGVO,42.96,-80.13,19.28,10.67,0.0,0.0,1.83022,1.6447,-0.0111111111111112,0.0
99,PO,KSVO,44.55,-73.69,8.84,9.44,0.0,0.0,1.88543,1.51831,0.159375,-0.4051999999999998
100,PO,LATQ,47.38,-72.78,8.11,8.41,5.56,6.07,2.32156,1.91099,0.7333333333333332,0.16420000000000012
101,PO,LINO,44.35,-78.78,22.92,3.29,0.0,0.0,2.09133,1.52573,0.0639999999999999,0.0
102,PO,LSQQ,49.06,-76.98,16.21,7.41,,,,,0.0261904761904761,0.0
103,PO,MADG,47.27,-61.69,13.63,7.5,,,,,-0.0847156591168323,0.0
104,PO,MATQ,49.76,-77.64,0.0,0.0,,,,,-0.0996226415094339,0.0
105,PO,MPPO,44.77,-76.26,0.0,0.0,0.0,0.0,1.53323,1.39221,0.0402777777777777,0.0
106,PO,MRHQ,45.89,-74.21,0.0,0.0,0.0,0.0,1.42,1.3272,-0.0435960314297684,0.0
107,PO,NEMQ,51.68,-76.26,1.56,9.44,,,,,,5.2732
108,PO,NMSQ,51.71,-76.02,0.0,0.0,,,,,0.1057682906957796,0.0
109,PO,ORHO,45.46,-75.54,0.78,16.79,,,,,0.726923076923077,5.881600000000001
110,PO,PTCO,42.88,-79.31,0.0,0.0,0.0,0.0,1.99558,1.86526,-0.0757575757575757,0.0
111,PO,RSPO,46.07,-79.76,0.0,0.0,0.0,0.0,2.11843,1.95623,-0.0188976377952756,0.0
112,PO,SSNO,46.47,-81.19,29.73,4.34,,,,,,0.0
113,PO,TIGG,47.0,-64.0,13.63,7.91,,,,,-0.1717173556729193,0.0
114,PO,UWOO,43.01,-81.27,5.26,11.22,,,,,,2.3872
115,PO,WEMQ,53.05,-77.97,0.08,6.31,,,,,0.1643045522302489,6.4276
116,PO,YOSQ,52.87,-72.2,29.73,9.44,,,,,0.077640761924752,0.0
117,QW,ONE01,44.23,-76.49,0.0,0.0,,,,,,0.0
118,QW,ONE03,43.98,-77.21,0.0,0.0,,,,,,0.0
119,QW,ONE04,44.33,-76.17,4.42,5.31,,,,,,3.0424
120,QW,ONE06,44.16,-77.38,0.0,0.0,,,,,,0.0
121,QW,ONE07,44.09,-77.77,0.0,0.0,,,,,,0.0
122,QW,ONE09,44.26,-76.96,0.0,0.0,,,,,,0.0
123,QW,ONE10,44.67,-76.39,0.0,0.0,,,,,,0.0
124,QW,ONE11,45.01,-74.74,6.25,5.62,,,,,,1.6150000000000002
125,QW,ONE12,45.0,-74.99,8.11,4.47,,,,,,0.16420000000000012
126,QW,ONE15,45.14,-74.5,2.21,7.5,,,,,,4.7662
127,QW,ONE17,45.39,-74.71,0.0,0.0,,,,,,0.0
128,QW,ONE21,46.0,-77.43,0.0,0.0,,,,,,0.0
129,QW,ONE23,46.21,-77.93,0.0,0.0,,,,,,0.0
130,QW,ONE24,46.31,-78.75,0.0,0.0,,,,,,0.0
131,QW,ONE25,46.54,-79.16,13.63,3.34,,,,,,0.0
132,QW,ONN04,45.33,-75.6,11.46,6.68,,,,,,0.0
133,QW,ONN06,45.35,-75.86,0.0,0.0,,,,,,0.0
134,QW,ONN10,45.34,-75.35,0.0,0.0,,,,,,0.0
135,QW,ONN11,45.23,-75.48,0.0,0.0,,,,,,0.0
136,QW,ONN12,45.22,-75.67,21.02,3.55,,,,,,0.0
137,QW,ONN13,45.28,-75.91,0.0,0.0,,,,,,0.0
138,QW,ONN18,45.43,-75.16,1.01,8.41,,,,,,5.7022
139,QW,ONN19,45.32,-75.09,0.0,0.0,,,,,,0.0
140,QW,ONN20,45.1,-75.23,12.5,4.73,,,,,,0.0
141,QW,ONN22,45.19,-75.85,5.73,17.78,,,,,,2.0206
142,QW,ONN23,45.23,-76.19,0.0,0.0,,,,,,0.0
143,QW,ONN24,45.47,-76.21,13.63,3.54,,,,,,0.0
144,QW,ONN25,45.43,-76.36,8.84,6.68,,,,,,-0.4051999999999998
145,QW,ONN31,45.39,-74.9,1.01,5.62,,,,,,5.7022
146,QW,ONN32,45.18,-74.93,11.46,4.73,,,,,,0.0
147,QW,ONN33,44.85,-75.55,16.21,4.95,,,,,,0.0
148,QW,ONN34,45.12,-76.12,0.0,0.0,,,,,,0.0
149,QW,ONN35,44.74,-75.47,9.64,11.22,,,,,,-1.0292000000000003
150,QW,ONN36,44.93,-75.21,9.64,4.22,,,,,,-1.0292000000000003
151,QW,ONN38,44.37,-75.95,0.0,0.0,,,,,,0.0
152,QW,ONN39,44.48,-75.88,12.5,3.98,,,,,,0.0
153,QW,ONN41,45.39,-75.72,0.0,0.0,,,,,,0.0
154,QW,QCC01,47.95,-69.5,0.0,0.0,,,,,,0.0
155,QW,QCC02,47.83,-69.89,0.0,0.0,,,,,,0.0
156,QW,QCC03,47.7,-69.69,0.0,0.0,,,,,,0.0
157,QW,QCC04,47.69,-70.09,0.0,0.0,,,,,,0.0
158,QW,QCC06,47.55,-70.33,0.0,0.0,,,,,,0.0
159,QW,QCC07,47.47,-70.01,0.0,0.0,,,,,,0.0
160,QW,QCC08,47.46,-70.41,0.0,0.0,,,,,,0.0
161,QW,QCC09,47.24,-70.2,0.0,0.0,,,,,,0.0
162,QW,QCC10,47.3,-70.57,0.0,0.0,,,,,,0.0
163,QW,QCC11,47.03,-70.44,6.25,4.22,,,,,,1.6150000000000002
164,QW,QCC14,47.36,-71.19,0.0,0.0,,,,,,0.0
165,QW,QCG01,48.23,-69.79,0.6,11.89,,,,,,6.022
166,QW,QCG03,48.27,-70.62,3.72,4.22,,,,,,3.5884
167,QW,QCG05,48.34,-70.99,1.86,13.34,,,,,,5.0392
168,QW,QCG06,48.54,-71.65,22.92,3.55,,,,,,0.0
169,QW,QCG08,48.12,-70.84,0.0,0.0,,,,,,0.0
170,QW,QCG11,48.18,-70.84,0.0,0.0,,,,,,0.0
171,QW,QCL01,48.89,-67.35,0.0,0.0,,,,,,0.0
172,QW,QCL02,48.47,-67.42,0.0,0.0,,,,,,0.0
173,QW,QCL04,49.42,-67.3,8.11,3.76,,,,,,0.16420000000000012
174,QW,QCL05,49.78,-67.17,1.01,15.85,,,,,,5.7022
175,QW,QCL08,49.19,-68.26,11.46,3.76,,,,,,0.0
176,QW,QCL12,48.2,-69.04,4.42,4.47,,,,,,3.0424
177,QW,QCL13,48.94,-68.64,0.72,7.5,,,,,,5.9284
178,QW,QCL14,48.74,-69.09,0.0,0.0,,,,,,0.0
179,QW,QCL15,48.34,-69.45,1.1,7.5,,,,,,5.632
180,QW,QCL16,48.12,-69.72,0.0,0.0,,,,,,0.0
181,QW,QCL17,48.83,-64.48,0.0,0.0,,,,,,0.0
182,QW,QCL20,47.07,-70.53,0.0,0.0,,,,,,0.0
183,QW,QCL21,49.73,-62.94,22.92,4.73,,,,,,0.0
184,QW,QCM04,45.41,-73.5,0.0,0.0,,,,,,0.0
185,QW,QCM05,45.36,-73.74,0.0,0.0,,,,,,0.0
186,QW,QCM06,45.36,-73.98,10.51,3.98,,,,,,0.0
187,QW,QCM08,45.85,-73.48,5.26,37.58,,,,,,2.3872
188,QW,QCM09,45.68,-73.19,1.7,3.35,,,,,,5.164
189,QW,QCM12,45.3,-73.29,3.41,11.89,,,,,,3.8302
190,QW,QCM13,45.13,-73.28,4.82,6.68,,,,,,2.7304
191,QW,QCM15,45.13,-74.0,2.87,7.94,,,,,,4.2514
192,QW,QCM16,45.26,-74.11,14.86,3.88,,,,,,0.0
193,QW,QCM20,46.03,-73.7,2.87,7.08,,,,,,4.2514
194,QW,QCM21,46.03,-73.42,0.0,0.0,,,,,,0.0
195,QW,QCM23,45.78,-72.99,1.1,10.59,,,,,,5.632
196,QW,QCM24,45.73,-72.87,1.86,10.59,,,,,,5.0392
197,QW,QCM25,45.51,-72.84,3.72,10.0,,,,,,3.5884
198,QW,QCM26,45.22,-72.79,10.51,6.31,,,,,,0.0
199,QW,QCM27,45.12,-72.99,0.0,0.0,,,,,,0.0
200,QW,QCM29,45.05,-73.58,0.0,0.0,,,,,,0.0
