,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,dM,A_site
145,QW,BCV33,48.39,-123.9,25.0,6.31,,,,0.0
146,QW,BCV34,48.54,-124.41,19.28,4.01,,,,0.0
147,QW,BCV36,48.56,-123.8,10.51,3.76,,,,0.0
148,QW,BCV37,48.36,-123.67,19.28,3.38,,,,0.0
149,QW,BCV38,49.71,-124.91,1.43,4.73,,,,5.3746
150,QW,BCV39,50.13,-125.33,0.0,0.0,,,,0.0
151,QW,BCV40,50.54,-126.83,0.0,0.0,,,,0.0
152,QW,BCV41,50.03,-125.37,0.0,0.0,,,,0.0
153,QX,CFNB1,54.34,-130.44,8.11,6.68,,,,0.16420000000000012
154,QX,CFNB3,53.43,-129.25,8.11,5.31,,,,0.16420000000000012
155,QX,CFNB5,52.37,-126.75,0.0,0.0,,,,0.0
156,QX,CFNB8,51.65,-128.13,1.31,15.85,,,,5.4682
157,QX,MTB07,49.1,-122.66,1.01,7.5,,,,5.7022
158,QX,MTB38,49.01,-123.13,0.33,4.22,,,,6.232600000000001
159,QX,SDB01,51.6,-127.86,0.0,0.0,,,,0.0
160,QX,SDB02,52.64,-128.52,0.0,0.0,,,,0.0
161,QX,SDB03,53.49,-130.64,0.0,0.0,,,,0.0
162,QX,SDB05,50.33,-125.44,0.0,0.0,,,,0.0
163,QX,SDB06,52.19,-128.11,0.0,0.0,,,,0.0
